CBS_code;Gemeente;Provincie_code;Coronasteun;Gemiddeld aantal bedrijven in sector cultuur, sport en recreatie (2019-2021);Aantal inwoners 1 jan 2020;steun_per_bedrijf;steun_per_inwoner
1680;Aa en Hunze;3;313581,94;142,5;25445;2200,58;12,32
358;Aalsmeer;7;368975,93;202,5;31859;1822,1;11,58
197;Aalten;5;386102,36;115;27121;3357,41;14,24
59;Achtkarspelen;2;418018,58;90;27843;4644,65;15,01
482;Alblasserdam;8;323415,93;57,5;20165;5624,62;16,04
613;Albrandswaard;8;251452,09;105;25590;2394,78;9,83
361;Alkmaar;7;2772344,7;765;109436;3623,98;25,33
141;Almelo;4;1473972,06;210;73107;7018,91;20,16
34;Almere;12;4632595,7;1210;211893;3828,59;21,86
484;Alphen aan den Rijn;8;1659708,48;450;111897;3688,24;14,83
1723;Alphen-Chaam;10;93257,51;55;10203;1695,59;9,14
1959;Altena;10;674607,38;225;55967;2998,26;12,05
60;Ameland;2;90990,73;40;3716;2274,77;24,49
307;Amersfoort;6;4207785,22;1285;157276;3274,54;26,75
362;Amstelveen;7;1607293,42;615;91675;2613,49;17,53
363;Amsterdam;7;30178698,27;20300;872757;1486,64;34,58
200;Apeldoorn;5;3612642,64;892,5;163818;4047,78;22,05
3;Appingedam;1;85705,76;30;11642;2856,86;7,36
202;Arnhem;5;5237480,89;1660;161348;3155,11;32,46
106;Assen;3;2061993,24;302,5;68599;6816,51;30,06
743;Asten;10;239001,45;92,5;16721;2583,8;14,29
744;Baarle-Nassau;10;83822,36;37,5;6859;2235,26;12,22
308;Baarn;6;347432,73;217,5;24868;1597,39;13,97
489;Barendrecht;8;722158,72;165;48714;4376,72;14,82
203;Barneveld;5;889488,07;207,5;59082;4286,69;15,06
888;Beek;11;235502,31;67,5;15865;3488,92;14,84
1954;Beekdaelen;11;400455,49;197,5;35938;2027,62;11,14
370;Beemster;7;104267,41;65;10022;1604,11;10,4
889;Beesel;11;197459,52;55;13482;3590,17;14,65
1945;Berg en Dal;5;483593,39;210;34992;2302,83;13,82
1724;Bergeijk;10;259882,05;80;18635;3248,53;13,95
893;Bergen (L.);11;149083,73;47,5;13085;3138,6;11,39
373;Bergen (NH.);7;445496,08;302,5;29839;1472,71;14,93
748;Bergen op Zoom;10;1858565,1;357,5;67496;5198,78;27,54
1859;Berkelland;5;616418,76;230;43747;2680,08;14,09
1721;Bernheze;10;398626,04;147,5;31240;2702,55;12,76
753;Best;10;441234,16;115;29988;3836,82;14,71
209;Beuningen;5;320395,33;120;25890;2669,96;12,38
375;Beverwijk;7;666604,12;180;41626;3703,36;16,01
1728;Bladel;10;262425,29;87,5;20390;2999,15;12,87
376;Blaricum;7;120114,22;95;11540;1264,36;10,41
377;Bloemendaal;7;311590,55;190;23571;1639,95;13,22
1901;Bodegraven-Reeuwijk;8;375559,56;155;34872;2422,96;10,77
755;Boekel;10;125365,81;40;10785;3134,15;11,62
1681;Borger-Odoorn;3;316844,72;127,5;25559;2485,06;12,4
147;Borne;4;330809,3;102,5;23312;3227,41;14,19
654;Borsele;9;304453,78;92,5;22739;3291,39;13,39
756;Boxmeer;10;415800,23;140;29365;2970;14,16
757;Boxtel;10;445366,84;157,5;30801;2827,73;14,46
758;Breda;10;4673032,69;1387,5;184069;3367,95;25,39
501;Brielle;8;361205,12;75;17271;4816,07;20,91
1876;Bronckhorst;5;461315,24;237,5;36055;1942,38;12,79
213;Brummen;5;250858,07;95;20726;2640,61;12,1
899;Brunssum;11;470995,07;92,5;27821;5091,84;16,93
312;Bunnik;6;155852,31;115;15191;1355,24;10,26
313;Bunschoten;6;295547,2;82,5;21866;3582,39;13,52
214;Buren;5;255394,11;167,5;26749;1524,74;9,55
502;Capelle aan den IJssel;8;1004514,01;272,5;67122;3686,29;14,97
