CBS;Gemeente;Prov;eerste_pakket;tweede_pakket;totaal
3;Appingedam;1;345297;393758;739055
10;Delfzijl;1;494429;846960;1341390
14;Groningen;1;11171840;7189137;18360977
1966;Het Hogeland;1;929505;1333859;2263364
24;Loppersum;1;136356;220207;356563
1952;Midden-Groningen;1;1211230;1681638;2892868
1895;Oldambt;1;1116628;1361676;2478304
765;Pekela;1;374763;434589;809353
37;Stadskanaal;1;1196451;1249102;2445554
47;Veendam;1;700977;928261;1629237
1969;Westerkwartier;1;942966;1553820;2496786
1950;Westerwolde;1;738738;855115;1593853
59;Achtkarspelen;2;518824;741417;1260241
60;Ameland;2;687081;126266;813347
1891;Dantumadiel;2;441386;547477;988863
1940;De Fryske Marren;2;788015;1248769;2036783
72;Harlingen;2;403037;466016;869053
74;Heerenveen;2;1176339;1443418;2619757
80;Leeuwarden;2;5896852;3629132;9525984
1970;Noardeast-Fryslân;2;1082473;1381728;2464201
85;Ooststellingwerf;2;443251;670619;1113869
86;Opsterland;2;460172;726537;1186709
88;Schiermonnikoog;2;307870;42213;350083
90;Smallingerland;2;1433161;1629163;3062324
1900;Sudwest Fryslan;2;2377811;2596176;4973987
93;Terschelling;2;814583;137638;952221
737;Tytsjerksteradiel;2;529438;795539;1324977
96;Vlieland;2;428789;42415;471204
1949;Waadhoeke;2;749611;1190680;1940291
98;Weststellingwerf;2;494492;739459;1233951
1680;Aa en Hunze;3;556642;540297;1096939
106;Assen;3;3356068;2165158;5521226
1681;Borger-Odoorn;3;763959;675540;1439499
109;Coevorden;3;927155;900949;1828103
1690;De Wolden;3;331695;513359;845054
114;Emmen;3;3617659;3268151;6885810
118;Hoogeveen;3;1865979;1831467;3697445
119;Meppel;3;843970;992276;1836246
1731;Midden Drenthe;3;522059;693085;1215143
1699;Noordenveld;3;459748;736384;1196132
1730;Tynaarlo;3;378136;740730;1118866
1701;Westerveld;3;535480;498106;1033586
141;Almelo;4;2521438;2158844;4680282
147;Borne;4;334683;536102;870785
148;Dalfsen;4;401945;631676;1033621
150;Deventer;4;3349787;2979798;6329585
1774;Dinkelland;4;380896;558447;939343
153;Enschede;4;6996622;4796015;11792637
158;Haaksbergen;4;337408;551698;889106
160;Hardenberg;4;1392026;1513810;2905836
163;Hellendoorn;4;621950;848723;1470674
164;Hengelo O;4;1623902;2282017;3905919
1735;Hof van Twente;4;517882;783459;1301342
166;Kampen;4;1047273;1374108;2421381
168;Losser;4;413784;544121;957905
173;Oldenzaal;4;730369;888407;1618776
1773;Olst-Wijhe;4;266006;414394;680400
175;Ommen;4;479797;490478;970275
177;Raalte;4;591768;899288;1491056
1742;Rijssen-Holten;4;608571;864172;1472744
180;Staphorst;4;212835;348940;561775
1708;Steenwijkerland;4;886788;1171216;2058004
183;Tubbergen;4;302831;450535;753365
1700;Twenterand;4;668459;881203;1549662
189;Wierden;4;355695;517125;872820
1896;Zwartewaterland;4;243636;477750;721385
193;Zwolle;4;5864040;3511882;9375922
197;Aalten;5;577255;736869;1314125
200;Apeldoorn;5;4563039;4450328;9013367
202;Arnhem;5;7335183;5083701;12418884
203;Barneveld;5;835768;1279924;2115692
1945;Berg en Dal;5;618803;837355;1456157
1859;Berkelland;5;760972;1074278;1835251
209;Beuningen;5;395357;580508;975865
1876;Bronckhorst;5;544118;812175;1356293
213;Brummen;5;497821;479514;977335
214;Buren;5;342360;552791;895150
216;Culemborg;5;468334;730322;1198655
221;Doesburg;5;304792;312259;617052
222;Doetinchem;5;2269292;1626711;3896002
225;Druten;5;269498;440232;709729
226;Duiven;5;342851;560723;903574
228;Ede;5;2546468;2657019;5203487
230;Elburg;5;434063;557300;991363
232;Epe;5;666053;812511;1478564
233;Ermelo;5;518112;698410;1216522
243;Harderwijk;5;993917;1206033;2199949
244;Hattem;5;195191;254354;449545
246;Heerde;5;303709;424330;728039
252;Heumen;5;187882;336457;524339
1705;Lingewaard;5;613400;996026;1609426
262;Lochem;5;541018;762555;1303573
263;Maasdriel;5;338195;521169;859363
1955;Montferland;5;643734;848135;1491869
1740;Neder-Betuwe;5;281732;490648;772379
267;Nijkerk;5;567634;886534;1454168
268;Nijmegen;5;7793425;5243983;13037408
302;Nunspeet;5;591360;688573;1279933
269;Oldebroek;5;473391;519407;992799
1586;Oost Gelre;5;727122;774452;1501574
1509;Oude IJsselstreek;5;648660;964087;1612747
1734;Overbetuwe;5;553827;1016393;1570221
273;Putten;5;435895;549620;985516
274;Renkum;5;478639;684511;1163149
275;Rheden;5;765943;1137094;1903037
277;Rozendaal;5;21493;36088;57581
279;Scherpenzeel;5;120305;190430;310734
281;Tiel;5;1118097;1183557;2301655
285;Voorst;5;338540;563404;901945
289;Wageningen;5;676976;924171;1601147
1960;West Betuwe;5;598602;1081109;1679711
668;West Maas en Waal;5;240635;393813;634447
293;Westervoort;5;257188;380858;638046
296;Wijchen;5;582394;955667;1538062
294;Winterswijk;5;738310;853493;1591803
297;Zaltbommel;5;549832;680348;1230181
299;Zevenaar;5;866678;1074418;1941096
301;Zutphen;5;1305805;1515488;2821294
307;Amersfoort;6;4156583;4305295;8461878
308;Baarn;6;283972;565338;849311
312;Bunnik;6;166276;265851;432127
313;Bunschoten;6;219435;433955;653390
310;De Bilt;6;408273;885267;1293539
736;De Ronde Venen;6;432886;869060;1301946
317;Eemnes;6;113749;181721;295471
321;Houten;6;481149;983064;1464213
353;IJsselstein;6;531782;770148;1301930
327;Leusden;6;331264;583588;914853
331;Lopik;6;152445;289945;442390
335;Montfoort U;6;126606;257642;384248
356;Nieuwegein;6;1453513;1454735;2908248
589;Oudewater;6;112382;220584;332966
339;Renswoude;6;67505;101484;168989
340;Rhenen;6;267451;447585;715036
342;Soest;6;508726;986693;1495419
1904;Stichtse Vecht;6;689722;1314862;2004584
344;Utrecht;6;16484874;9912733;26397607
1581;Utrechtse Heuvelrug;6;713877;1045086;1758963
345;Veenendaal;6;1218553;1672939;2891492
1961;Vijfheerenlanden;6;739701;1255015;1994716
352;Wijk bij Duurstede;6;270910;485888;756799
632;Woerden;6;936266;1224810;2161076
351;Woudenberg;6;183763;247281;431044
355;Zeist;6;1244783;1584396;2829179
358;Aalsmeer;7;361428;608442;969870
361;Alkmaar;7;3903366;2884904;6788271
362;Amstelveen;7;1490698;1920728;3411426
363;Amsterdam;7;114675545;34616766;149292311
370;Beemster;7;94891;185189;280080
373;Bergen NH;7;1510799;654308;2165107
375;Beverwijk;7;778315;1081269;1859584
376;Blaricum;7;93398;210741;304139
377;Bloemendaal;7;591579;435399;1026978
383;Castricum;7;546219;689700;1235919
400;Den Helder;7;1553822;1523689;3077511
384;Diemen;7;567791;696717;1264509
498;Drechterland;7;211745;394449;606194
385;Edam-Volendam;7;565154;740070;1305224
388;Enkhuizen;7;408053;487226;895279
1942;Gooise Meren;7;914052;1235473;2149525
392;Haarlem;7;7768072;4495496;12263568
394;Haarlemmermeer;7;4924066;3224303;8148369
396;Heemskerk;7;529885;938125;1468010
397;Heemstede;7;380040;578504;958545
398;Heerhugowaard;7;745211;1312427;2057638
399;Heiloo;7;222760;464861;687622
402;Hilversum;7;2522671;2329853;4852524
1911;Hollands Kroon;7;537346;1002463;1539809
